,text,device,emotion
8388,internet age google's favorite thing swiss made watch bought 12 year ago,,No emotion toward brand or product
8389,tech posterous join pile posterous_events iphone,,No emotion toward brand or product
8390,apple test pop ipad shop sxsw,,No emotion toward brand or product
8391,apple test pop ipad shop sxsw cult mac apple,,No emotion toward brand or product
8392,photo booth action google party love good photo booth,Google,Positive emotion
8393,report 5th avenue apple store sold 200 ipad 2 launch entry friend house,iPad,Positive emotion
8394,aaron forth pick platform carefully iphone device adoption direct consumer,,No emotion toward brand or product
8395,200 lined apple pop store,,No emotion toward brand or product
8396,thank ur tweet japan trying get donation booth i'm iphone plz help,,No emotion toward brand or product
8397,thank bart retweeting ipad startup tweet excited ipad,iPad,Positive emotion
8398,thank retweeting apple store info,,No emotion toward brand or product
8399,thank insight japan panel google translate another tab read,,No emotion toward brand or product
8400,thank jeanne retweet opening pop store great way get people even excited apple tech,Apple,Positive emotion
8401,thanks letting u know heard ipad giveaway we're,iPad,Positive emotion
8402,thanks sharing news thought news,,No emotion toward brand or product
8403,thanks stopping ipad case zazzlesxsw,,No emotion toward brand or product
8404,thanks apple store retweet,Apple,Positive emotion
8405,thanks rt ipad giveaway detail come,,No emotion toward brand or product
8406,thanks omar we've updated story google,,No emotion toward brand or product
8407,thanks android app checking,Android App,Positive emotion
8408,thanks good tidbit conference thanks sharing google,,No emotion toward brand or product
8409,thanx follow nice meetin party i'll let peep know iphonedev androiddev iphone,,No emotion toward brand or product
8410,purchased ipad see people buying white one nicer frame presentation reading,,No emotion toward brand or product
8411,make want iphone use uppward tshirt clever design jerk,iPhone,Positive emotion
8412,that's exactly i've sayin able attend buy ipad today consider japan relief,,No emotion toward brand or product
8413,that's impressive popup store must purchased ipad enjoy,iPad,Positive emotion
8414,art ipad view daily free coffee idevice recharging austin detail,,No emotion toward brand or product
8415,folk pretty kool aid drinking bunch think android tablet hardcore linux nerd let know,,No emotion toward brand or product
8416,deleting iphone app,iPad or iPhone App,Negative emotion
8417,download app iphone,,No emotion toward brand or product
8418,enjoying california hollywood silicon valley meet nyc sunny austin pool cowboy boot ipad vibe,,No emotion toward brand or product
8419,jamin itunes album,,No emotion toward brand or product
8420,checkout tronloungesxsw see disney 2nd screen free ipad app tronlegacy r3conf1gur3d soundtrax,,No emotion toward brand or product
8421,watching 3d rendering google team put together awe inspiring like we're jetsons marissagoogle,Google,Positive emotion
8422,apple popupstore like crack house mac addict,Apple,Negative emotion
8423,apple popup store austin see map waiting ipad2 want buy one,,No emotion toward brand or product
8424,best thing saw tonight security guard protecting ipad awesome,iPad,Positive emotion
8425,z43 let body hit floor code valid 00 11 59 59a 03 15 11 infektd zlf,,No emotion toward brand or product
8426,chance buy ipad unless already got one way,,No emotion toward brand or product
8427,apple classiest facist company america kara swisher,Apple,Negative emotion
8428,constant ipad iphone switch i've making making feel like giant,iPhone,Positive emotion
8429,video first ipad2 unboxing outside apple store coming soon find decent wifi,,No emotion toward brand or product
8430,geek need somewhere downtown line get ipad i'll dropping,iPad,Positive emotion
8431,saw google streetvview car,,No emotion toward brand or product
8432,line google bing pagerank session crazy,,No emotion toward brand or product
8433,yes google party glowing cup,Google,Positive emotion
8434,bringing heat if show content quality m much likely rank ranking,,No emotion toward brand or product
8435,awaiting high priestess google marissa mayer,,No emotion toward brand or product
8436,saw huge ipad line popup apple store people really really want,iPad,Positive emotion
8437,saw ipad close first time shiny,iPad,Positive emotion
8438,line ipad apple store demo unit 5pm fb,iPad,Positive emotion
8439,watching ipad made movie busy make wish whatever party made instead,,No emotion toward brand or product
8440,league extraordinary hacker event organised google build robot good hmmmm,,No emotion toward brand or product
8441,checkout league extraordinary hacker lego google,,No emotion toward brand or product
8442,line temporary apple store unreal walked way convention center ipad2,,No emotion toward brand or product
8443,we're lustre pearl getting ready presentation team android award,,No emotion toward brand or product
8444,watching man game radisson waiting next talk ipad v android,,No emotion toward brand or product
8445,download official featured artist playlist via itunes 22 song absolutley free,,No emotion toward brand or product
8446,may man without iphone,,No emotion toward brand or product
8447,shhhh promo code ipad giveaway sxsw2011 web developer winning,,No emotion toward brand or product
8448,record ipad line merely passed making minor round home,,No emotion toward brand or product
8449,enjoying resurgence i'll austin convention center today fam showing new iphone game,,No emotion toward brand or product
8450,enjoying rooftop terrace speakeasy reassured extraordinary hacking google meant soft couch bar,,No emotion toward brand or product
8451,n26 set terror level red code valid 00 59 59p 03 13 11 infektd necro,,No emotion toward brand or product
8452,unofficial torrent great way hear expect year,,No emotion toward brand or product
8453,going urinal holding ur ipad tweeting tough,,No emotion toward brand or product
8454,phone way battery wise believe week week i'd comfortable typing ipad sixth st,iPad,Positive emotion
8455,theory using google mood index social medium post predict movement dow jones day advance smvis,,No emotion toward brand or product
8456,shoe foot newspaper always chasing young reader young developer pack panel ipad design boomer yourmom,,No emotion toward brand or product
8457,either go wait line buy tricked ipad mom's birthday guess austin,iPad,Positive emotion
8458,review probably downloading torrent making thing slow,,No emotion toward brand or product
8459,oh another way talk shit net google launch major new social network called circle possibly today,,Negative emotion
8460,flap loose peeked look like apple store built day,,Positive emotion
8462,there's one thing sxsw good flash mob hive think apple win ipad2,Apple,Positive emotion
8463,oh apple smart,Apple,Positive emotion
8464,they're flowing like water pop apple store downtown austin near know anyone still,,No emotion toward brand or product
8465,they're journalist spent money pass afford google tv,Google,Negative emotion
8466,they're setting temporary store today bother apple store coming u,Apple,Positive emotion
8467,thing got smarmcake writeup google ontologists ontologyshoutoutwut,,No emotion toward brand or product
8468,well something happening bus stop prob something apple dunno,,No emotion toward brand or product
8469,mayer think simplicity lot google developing product jr,,Positive emotion
8471,apple truck need ipad,iPad,Positive emotion
8472,ipad pop store caniexpenseanipad,,No emotion toward brand or product
8473,android go blackberry available,,Positive emotion
8474,time next week google party,Google,Positive emotion
8475,thought may interested session mom ipad designing boomer,,No emotion toward brand or product
8476,food thought prefer app website scheduler iphone changed life interesting smart phone changed communication,iPhone,Positive emotion
8477,met three girl apple itunes connect team iphone developer meetup got talk would change itc,,No emotion toward brand or product
8478,i've run 270 iphone battery hour,,No emotion toward brand or product
8479,google math day wave buzz circle google circle fail,,No emotion toward brand or product
8480,ringo deathstarr flooding ear canal red right mind adi showcase location,,No emotion toward brand or product
8481,apple enthusiast lining ipad2 outside pop apple store austin 6th congress open 5pm,,No emotion toward brand or product
8482,hipstamatic giving away hipstapaks channel news apps io iphone,,Positive emotion
8483,noticed dst coming weekend many iphone user hour late sxsw come sunday morning iphone,iPhone,Negative emotion
8484,one time feeling android developer meetup saturday 12 30pm sat hilton 615ab welcome rt might,,No emotion toward brand or product
8485,austin apple store security guard enjoying new ipad2,,No emotion toward brand or product
8486,nice austin apple pop shop time arrived,iPad,Positive emotion
8487,well austin's place u get ipad apparently austinwins,iPad,Positive emotion
8488,google latina see find porn first impression people get u latism latinasintech,,No emotion toward brand or product
8489,google latina see find porn first impression people get u latism latinasintech,,No emotion toward brand or product
8490,still waiting someone stop new ipad game prize waiting,iPad,Positive emotion
8491,tweeting new ipad jealous wssxsw,iPad,Positive emotion
8492,who's sitting lobby hotel 2am free wifi set new ipad yeah that's,iPad,Positive emotion
8493,experimenting crucial google brand say marissa mayer marissagoogle,,No emotion toward brand or product
8494,live tweeting google bing speak ranking begin 10 min doubt they'll say anything useful may interesting,,No emotion toward brand or product
8495,apple putting store downtown austin ipad tablet app disrupt can't wait,Apple,Positive emotion
8497,apple setting temporary store austin attendee get ipad2 fix,iPad,Positive emotion
8498,group texting war heat fast society launch new android app update iphone app mobilenews,,No emotion toward brand or product
8499,group texting war heat fast society launch new android app update iphone app,,No emotion toward brand or product
8500,sitting eric google getting ready,,No emotion toward brand or product
8501,ipad tweeting riding thru 210,,Positive emotion
8502,attn apple opening temporary store downtown austin ipad launch,,No emotion toward brand or product
8503,dear please tell u soon google circle unveiled thanks,Other Google product or service,Positive emotion
8504,askd he's answr google latina find porn 1st impression people get u latism,,No emotion toward brand or product
8505,well apple opening temporary store downtown austin ipad launch,Apple,Positive emotion
8506,2011 google bing smackdown bloody banality,,No emotion toward brand or product
8507,help advance techstars getoutthevote ipad iphone startup,,No emotion toward brand or product
8508,google throw tchin party shout spazmatics,Google,Positive emotion
8510,hmm broke google circle story morning pointing u article scinfluence,,No emotion toward brand or product
8511,wow developed ipad app 15k newsapps,iPad or iPhone App,Positive emotion
8512,like download freak jet iphone hilarious see i'm learning new stuff,iPad or iPhone App,Positive emotion
8513,grab betainvites new android camera raise 1m valley player,Android,Positive emotion
8515,omg rumor apple opening temporary store downtown austin ipad launch,Apple,Positive emotion
8516,marissa mayer 40 google map use mobile,Other Google product or service,Positive emotion
8517,new ubersocial iphone app store includes uberguide sponsored mashable,,No emotion toward brand or product
8518,perception google street view big brother trying transparent data give user control,,No emotion toward brand or product
8519,line pop 30 deep line crossroad closer 300 big demand liz phair freecreditscore band sorry ipad2,,No emotion toward brand or product
8520,mom quick apply job need help identifying bird search,,No emotion toward brand or product
8521,cc new ubersocial iphone app store includes uberguide cont,,No emotion toward brand or product
8522,tell ipad making accessible people site ready poursite,iPad,Positive emotion
8523,live sxsw mobile accessibility session room 8a surprise guest charles chen answering question android,,No emotion toward brand or product
8524,protip iphone keep saying internet connection good signal turn 3g edge work perfectly,,No emotion toward brand or product
8526,music artist duckett song name another girl instrumental source creative common via ipad gadget,,No emotion toward brand or product
8527,google latitude check in follow foursquare reward sxsw free googlela googlemarch,Other Google product or service,No emotion toward brand or product
8528,google latitude make big push breakthrough year,Google,Positive emotion
8529,mobile activation 200 month android taking huge market share accesssxsw,Android,Positive emotion
8530,robot battle hosted google lego start,,No emotion toward brand or product
8531,congrats another winner ipad case going mission trip sister haiti cbatsxsw,iPad,Positive emotion
8532,congrats executing event guide loaded iphone,iPad or iPhone App,Positive emotion
8533,congrats getting next level fave ipad game pengairborne dowtimebetweensessions iamagameshater,,No emotion toward brand or product
8534,congrats winning ipad raffled smileyparty check inbox detail,,No emotion toward brand or product
8535,congrats winning last ipad case boyfriend aw cbatsxsw,iPad,Positive emotion
8536,redcross 90999 afford attend buy ipad today consider japan earthquake relief,,No emotion toward brand or product
8537,en route austin i'll bet new iphone that's 90 flight,,No emotion toward brand or product
8538,en route austin tx accompanied fedora instrument weird haircut apple product,,No emotion toward brand or product
8539,san jose austin surrounded apple google peep every tech nerd dream time turn charm find new bff,Google,Positive emotion
8540,first apple product launch plagued twitter stream,Apple,No emotion toward brand or product
8541,congrats bernd florian launch guguchu ticket terminal iphone app ahead,iPad or iPhone App,Positive emotion
8542,line buy ipad stretch block getting one today,,No emotion toward brand or product
8543,start compete bigger guy like google checkins pnid,Google,Positive emotion
8544,i'd love get ipad2 apple store that's popping downtown tomorrow lack patience douchebaggery,iPad,Positive emotion
8545,last day get lp austin iphone app free travel,,No emotion toward brand or product
8546,thrilled former chief talent officer apple gap advisory board innotribe,Apple,Positive emotion
8547,temp store 6th congress attendee excuse walking around ipad austin,iPad,Positive emotion
8548,memento io app sale 99 wait one momento _ let social medium create diary iphone,,No emotion toward brand or product
8549,contest juan winning last commuter case iphone 50 gift card left cbatsxsw,,No emotion toward brand or product
8550,congrats kenny enjoys spanking new case ipad look happy,iPad,Positive emotion
8551,congrats kenny enjoys spanking new case ipad look happy cbatsxsw,iPad,Positive emotion
8552,launch circle later today gotta love one platform everything independent film innovative tech,,No emotion toward brand or product
8553,launch groupon living social type reward,,No emotion toward brand or product
8554,launch groupon living social type reward,,No emotion toward brand or product
8555,launch social network called circle possibly today via interesting jl,,No emotion toward brand or product
8556,gowalla launch groupon living social type reward,,No emotion toward brand or product
8557,starting make google cal really excited see,,No emotion toward brand or product
8558,guy next bathroom prop ipad urinal keep using going people serious,,Positive emotion
8559,guy next carefully studying best party 11 spreadsheet made ipad ipad n00b,,No emotion toward brand or product
8560,open temporary store sxsw use,,No emotion toward brand or product
8561,early purchase ipad awesome sweepstakes giveaway game detail coming soon,iPad,Positive emotion
8562,yet see someone pc dell otherwise sxsw apple macbook pro,Apple,Positive emotion
8563,sell ipad 2 attendee worked sold,iPad,Positive emotion
8564,line apple ipad2 popup store 6th congress warp around 5th st,,No emotion toward brand or product
8565,got google party speakeasy free drink food coming,,No emotion toward brand or product
8566,congrats va client discovr kicking taking name hottest music app,,No emotion toward brand or product
8567,planning wait ipad2 apple store get infektd might player crowd,iPad,Positive emotion
8568,ser cierto google launch major new social network called circle possibly today rww f6bcet,,No emotion toward brand or product
8569,iphone autocorrects sxsw scar foreshadowing,,No emotion toward brand or product
8570,released today spin play spin magazine's ipad app download 1st issue free,,No emotion toward brand or product
8571,tattoo ipad chalked pavement mean applefanatic,iPad,Positive emotion
8572,i'm bettercloud presenter austin native john wiley happens chief engineer behind google search,,No emotion toward brand or product
8573,ipod new ubersocial iphone app store includes uberguide cont,,No emotion toward brand or product
8574,toolkit laptop charger iphone h2o bike shade i'm walking apple ad touch rei what's,Apple,Positive emotion
8575,cnet story apple's schooling social marketing exec pop ipad2 launch,,No emotion toward brand or product
8576,totally make shift apple store downtown,,No emotion toward brand or product
8577,totally digging new foursquare iphone time crap rematch austin big omaha,iPad or iPhone App,Positive emotion
8578,totally mean number company seemed offering thing sad apple beat give guy,Apple,Positive emotion
8579,touching story designing magazine ipad touchingstories tbwasxsw,,No emotion toward brand or product
8580,google hotpot good service force anyways,Other Google product or service,Negative emotion
8581,google hotpot activity map week austin tx suxsw,,No emotion toward brand or product
8582,google hotpot instant rating review via place social sharing etc yelp killer,,No emotion toward brand or product
8583,google hotpot brings netflix style functionality place result yelp personality bettersearch,,No emotion toward brand or product
8584,google hotpot demo seems whole lot like yelp innovate left outa game show heat maps2,,No emotion toward brand or product
8585,google hotpot anyone used,,No emotion toward brand or product
8586,google hotpot new app let's people rate guess logical business progression marissagoogle,Other Google product or service,Positive emotion
8587,google hotpot rate restaurant get personalized recos eat um think foursquare yelp etc covered already,Other Google product or service,Positive emotion
8588,google hotpot yelp killer impressive integration personalized recommendation really fast,Other Google product or service,Positive emotion
8589,straight day ipad welcome change flip fashion mag printisnotdead digitalblasphemy,,No emotion toward brand or product
8590,look transit info u canada gtfs city go round transit developer google group transitapps,,No emotion toward brand or product
8591,metricsdrivendesign wrote response exactly regard speaker google reference search blog response,,No emotion toward brand or product
8592,sound intriguing lot chatter around google's new social network circle kek,Other Google product or service,Positive emotion
8593,google introducing check status reward mobile,,Positive emotion
8594,crowd control apple pop,,No emotion toward brand or product
8595,distrub circle we're launching product dancing today,,No emotion toward brand or product
8596,industry party gsdm google grand affair,Google,Positive emotion
8597,got lost trying fond apple store austin instead,,No emotion toward brand or product
8598,ipad thing addition place print cut newsapps panel,iPad,Positive emotion
8599,apple rent retail space downtown austin must avoid block radius tomorrow,Apple,No emotion toward brand or product
8600,ipad get temporary apple store sxsw apple applestore ipad2 verizon,,No emotion toward brand or product
8601,apple set temporary store ipad2 im lil jealous,iPad,Positive emotion
8602,first shot ipad,,No emotion toward brand or product
8603,letshookup want google nonprofit,,No emotion toward brand or product
8604,attending want explore austin check austin,,No emotion toward brand or product
8605,perfect attention detail google recreated code pac man doodle original bug included googledoodles,Google,Negative emotion
8606,what's better sweet new ipad time,iPad,Positive emotion
8607,bettercloud computing insight google's benefit data center economy scale continual improvement pgi,,Positive emotion
8608,design pattern user engagement sxsw i'm interested hear google say subject makinggamesbetter,,No emotion toward brand or product
8609,iphone battery die nooooooooooooooo,,No emotion toward brand or product
8610,iphone battery going quickly guy behind let borrow portable charger want one,iPhone,Negative emotion
8612,louis vuitton iphone app called amble digitalluxury,,No emotion toward brand or product
8614,stuck inthat long line apple store come check u next block across driskill apple wam,,No emotion toward brand or product
8615,stumbling around lost stay contact group iphone application,iPad or iPhone App,Positive emotion
8616,stupid find mac game via ipad 12,,No emotion toward brand or product
8617,stupid find mac special price game mac,,No emotion toward brand or product
8618,startup need android developer,,No emotion toward brand or product
8619,82 future tablet buyer say they'll choose apple's ipad see pop store,iPad,Positive emotion
8620,featured artist playlist available free free music,,No emotion toward brand or product
8621,internet tv coming google tv dvrs xbox train stopping barry diller,,No emotion toward brand or product
8622,ok tweeps flight one freak i'm going reading book real one ipad kindle paper analog,,No emotion toward brand or product
8623,tweeted best thing i've heard weekend gave ipad money japan relief need,,No emotion toward brand or product
8624,i'm live tweeting user drive 12b mile year google map navigation jr,,No emotion toward brand or product
8625,i'm retweeting chance added spreadsheet,,No emotion toward brand or product
8626,watching twit live want go next year also want ipad i'm content wait awhile always buy technology late anyway,iPad,Positive emotion
8627,need twitter app recommendation new ipad thought,,No emotion toward brand or product
8628,nice twitter lwr boom api devs undr covr japan tsunami earthquake wisconsin libya,,No emotion toward brand or product
8629,wow twitter look google honor everyone twitter,,No emotion toward brand or product
8630,google's two main seo factor topicality site authority,,No emotion toward brand or product
8632,party calendar gcal,,No emotion toward brand or product
8633,block party capitalism ballroom went google thing last session first choice full,,No emotion toward brand or product
8634,party podcasts,,No emotion toward brand or product
8635,party rule slip piss drop iphone urinal true story either promise,,No emotion toward brand or product
8636,party time thanks,,No emotion toward brand or product
8637,new mike tyson game coming iphone iphone videogames tyson art cartoon,,No emotion toward brand or product
8638,hi accidentally took ipad techi set pepsicostage would please return,,No emotion toward brand or product
8639,line 10 30 line apple pop store austin open pm,,No emotion toward brand or product
8640,know google party find samsung galaxy tab,,No emotion toward brand or product
8641,nice people going fun check twit twig android podcasters,,No emotion toward brand or product
8642,use map mayer 40 google map usage mobile 150 million mobile user,,No emotion toward brand or product
8643,hey try early iphone android beta hitchery let u know think,,No emotion toward brand or product
8644,great visualisation ghost movement logic pacman google doodle session detail,,Positive emotion
8645,highly doubt announce new social effort today seem style greatly look forward seeing,,No emotion toward brand or product
8646,casualeducationgames proposal download update textbook good news apple,,No emotion toward brand or product
8647,couch ipad propped gut full breakfast taco dangerous position inertia what's happening tonight friend,iPad,No emotion toward brand or product
8648,touchingstories great presentation future digital magazine,,No emotion toward brand or product
8649,wow suck ipad rebecca black fab5,iPad,Negative emotion
8650,kid ducked exposing 4chan4eva tattoo small back ipad flew right,,No emotion toward brand or product
8651,audience asks favorite non google product say really love swiss omega watch,,No emotion toward brand or product
8652,never thought i'd sitting floor austin convention center that's best place plug iphone charger,,No emotion toward brand or product
8653,apple brought employee store texas staff popup store,,No emotion toward brand or product
8654,apple brought touch ui mass i'm listening microsoft guy talk,,No emotion toward brand or product
8655,npr fan built first iphone app affiliated npr firefighter coder,,No emotion toward brand or product
8656,grateful twitterstream mostly full empathy concern event ipad,,No emotion toward brand or product
8657,google could search engine google instead useful information savebrands,Google,Positive emotion
8658,google would great partner u say looking distribution better product,Google,Positive emotion
8659,wish could go head 1pm cst today win vip access acoustic solo set tonight,,No emotion toward brand or product
8660,room full ipad design headache talk,,Positive emotion
8661,ummm dinosaur question dinosaur shark ninja pirate google party like 1986,,No emotion toward brand or product
8662,google rumored unveil new social network circle today,,No emotion toward brand or product
8663,cnn launch tv everywhere service mobile google tv computer,,No emotion toward brand or product
8664,cnn launch tv everywhere service mobile google tv computer,,No emotion toward brand or product
8665,google launch route around traffic offer option keep traffic save 2yrs worth time every day,Google,Positive emotion
8666,google launching new social network today,,No emotion toward brand or product
8667,google launching new social network called cicles today,,No emotion toward brand or product
8668,google launching secret new social network called circle,,No emotion toward brand or product
8669,google launching secret new social network called circle,,No emotion toward brand or product
8670,google launching social network google circle,,No emotion toward brand or product
8671,found bbq sauce ipad tech texas really come together,iPad,Positive emotion
8672,line around block new ipad austin one lucky recipient,iPad,Positive emotion
8673,route around traffic google map save user year worth time everyday,Other Google product or service,Positive emotion
8674,route around traffic google map feature saving user year time every day holytrafficjams,Other Google product or service,Positive emotion
8675,we're ungrateful bc much shit play turn shit iphone,iPhone,Negative emotion
8676,kind funny sad ipad release line longer party line saw last night sheeple,iPad,Positive emotion
8677,google ad preference view edit google think like seenocreepy,,Positive emotion
8678,google challenge stay true originally built big successful brand experimentation moving fast,,No emotion toward brand or product
8679,google china middle east,,No emotion toward brand or product
8680,i'm designing ipad interface new navigation schema acc heading future touch panel track mind,,No emotion toward brand or product
8681,google product gatekeeper marissa mayer location based fast fun future ht,,No emotion toward brand or product
8682,nu bij touching story designing digital magazine ipad,,No emotion toward brand or product
8683,picked mophie iphone charge case tradeshow doubt i'll use time great long day,Other Apple product or service,Positive emotion
8684,picked white ipad2 today apple store,iPad,Positive emotion
8685,messed bring iphone charger anyone got one could borrow 10 min,,No emotion toward brand or product
8686,prepping aka nerd gone wild here's list party thanks,,No emotion toward brand or product
8687,apple popup store,,No emotion toward brand or product
8688,apple popup store austin,,No emotion toward brand or product
8689,apple popup store still constuction that's keeping 50 line people standing line,,No emotion toward brand or product
8690,apple popup store line still circle block,,No emotion toward brand or product
8691,apple popup store apple store sxsw photo,Apple,No emotion toward brand or product
8692,ipad pop longest line kanye's vevo show,,No emotion toward brand or product
8693,catching hotel room day also tweeting new ipad,iPad,Positive emotion
8694,best pickup line iphone charger,,No emotion toward brand or product
8695,bad news update pop apple store ipads sure tomorrow,,Negative emotion
8696,another super smart move apple temporary store sxsw apple,Apple,Positive emotion
8697,sxsw groupme say s going global first add new social feature android iphone sm stevemartocci,,No emotion toward brand or product
8698,stumbled upon google bing session full terrific far,,No emotion toward brand or product
8699,interrupt regularly scheduled geek programming big news google circle,,No emotion toward brand or product
8700,interrupt regularly scheduled geek programming big news google circle,,No emotion toward brand or product
8701,record experience iphone,,No emotion toward brand or product
8703,what's take ipad really want checkins,iPad,Positive emotion
8704,nice gesture lonely planet make austin guide iphone free,iPad or iPhone App,Positive emotion
8705,pressure ahem excuse buy mount rt ipad must gadget,iPad,Positive emotion
8706,future 15 program google tv ipad apps connected tv experience,,No emotion toward brand or product
8707,i'm sure care first guy get ipad unless post,,No emotion toward brand or product
8708,journal iphone momento sale grab 59p 99,iPhone,Positive emotion
8709,within hour buying ipad glenda watson hyatt cerebral palsy able communicate stranger public poursite,,No emotion toward brand or product
8710,packed house session qa google bing website ranking hilton salon,,No emotion toward brand or product
8711,packed house google bing qa search ranking oh i'm hope catfight qagb,,Positive emotion
8712,google patented something age domain ranking algorithm mean use qagb,,Negative emotion
8714,40 use google map mobile marissa mayer,,Positive emotion
8715,packed house go lynn designing ipad interface new navigation schema uxdes,iPad,Positive emotion
8716,full house apparently people care google ranking synthetic life tsk tsk people qagb,,No emotion toward brand or product
8717,used ipad app example good navigation,iPad or iPhone App,Positive emotion
8718,android user favorite mobile app something new snazzy let know thanks,,No emotion toward brand or product
8719,us google chrome developer tool point javascript console extensive api killerhack,,No emotion toward brand or product
8720,next discussion cellbots unofficial google platform control brain cellphone gsdm connect cloud,,No emotion toward brand or product
8721,someone held ipad giant like love,iPad,Positive emotion
8722,wife tried call att iphone att say number working taking att network nationwide,iPhone,No emotion toward brand or product
8723,leaving austin sort want cry always remember week adele fiona apple mix solace startupbus,,No emotion toward brand or product
8724,helpful austin relay user imparted useful recon info apple store location thanks phil,,No emotion toward brand or product
8725,cruisin austin checked venue tomorrow night saw looong apple ipad line,,No emotion toward brand or product
8726,apple's customer service top notch they've even got guy hanging line giving inventory update nice,Apple,Positive emotion
8727,stellar customer service apple store wish every purchase smooth,Apple,Positive emotion
8728,yup showusyouricrazy apple's pop store day ipad2 release could genius move mktg history,Apple,Positive emotion
8729,heard apple's pop store downtown austin pic already gowalla ipad2,,No emotion toward brand or product
8730,hanging convention center find u win free ipad beiber,,No emotion toward brand or product
8731,hanging hilton lobby downtown austin stop say hi check android controller sonos,,No emotion toward brand or product
8732,best put ipad control top screen bottom may sink belly tapworthy,,No emotion toward brand or product
8733,plucked end taxi line stranger lift airport rental car payitforward,,No emotion toward brand or product
8734,missing catch piece action street cam stream ipad,,No emotion toward brand or product
8735,geeking youtube apis google teaching theatre,,No emotion toward brand or product
8736,heading google aclu eff party yep google throwing back reliving old time fun,Google,Positive emotion
8737,hanging google industry party good crowd,,No emotion toward brand or product
8738,hanging connecting in1102 ipad,,No emotion toward brand or product
8739,geeking waited line apple product missing important rite passage,Apple,Positive emotion
8740,google route around traffic saving driver year time per day finding best route,Other Google product or service,Positive emotion
8741,google route around traffic pretty sweet route around saving user year day efficient time environment,Other Google product or service,Positive emotion
8742,c5 precaution code valid 00 59 59p 03 11 11 infektd cvdc,,No emotion toward brand or product
8743,ipad auto completes kawasaki's name first four letter,,Positive emotion
8744,waiting outside apple store ipad2 woohoo,iPad,Positive emotion
8745,ben benieuwd interrupt regularly scheduled geek programming big news google circle,Other Google product or service,Positive emotion
8746,ipad ux message medium globalmoxie,,No emotion toward brand or product
8747,need buy ipad2 i'm austin sure i'll need austin apple store,iPad,Positive emotion
8748,haha guy asking marissagoogle google interview question,,No emotion toward brand or product
8749,hey usguys let u know think new google circle social medium platform usxsw,,No emotion toward brand or product
8750,twitter buzz apple store temporary apple store open 6th congress tomorrow ipad2,,No emotion toward brand or product
8751,google dev panel indicates android screen reader work widget native ui web view browser,Android,Positive emotion
8752,v1 go iphone ipad app live better update schedule sync would love know think,iPad or iPhone App,Positive emotion
8753,valuable device far apple ipod iphone charger,Other Apple product or service,Positive emotion
8754,oh elevator vimeo iphone app submitted store smart upload continue left service drop li video,,No emotion toward brand or product
8755,user drive 12 billion mile year google map navigation,,No emotion toward brand or product
8756,user drive 12b mile year google map navigation jr,Other Google product or service,Positive emotion
8757,ipad upgrade newest io yet tweetdeck unstable nten 11ntc,iPad,Negative emotion
8758,anyone suggestion getting mobile prepaid data work iphone phone txt working,,No emotion toward brand or product
8759,fuck love austin left youtube google party maggie maes fun time got youtube tube sock lol austin,Google,Positive emotion
8760,genius move apple open temp store downtown austin ipad2,Apple,Positive emotion
8761,meetingwave iphone app's new version submitting android week free downloads please retweet,,No emotion toward brand or product
8762,wait week ipad appleatxdt pop shipment daily,iPad,Negative emotion
8763,ipad2 live unboxing front apple store video,,No emotion toward brand or product
8764,ipad giveaway full force person friend city end win hint strong email list work well,iPad,Positive emotion
8765,arrived seen single person without iphone att better ready,,No emotion toward brand or product
8766,google unveiled new data visualization tool open source based gapminder bavcid pic,,No emotion toward brand or product
8767,google developer hackathon discussion web font google get 32000 font request day gsdm,,No emotion toward brand or product
8768,even get without iphone,,No emotion toward brand or product
8769,already download free music sampler itunes itunes link good,Other Apple product or service,Positive emotion
8770,waited line apple product missing important rite passage,Apple,Positive emotion
8771,thank heaven nice traveler got iphone charger another delayed passenger,iPhone,Positive emotion
8772,eventful day earthquake tsunami ipad plus,,No emotion toward brand or product
8773,ever got high5 buying product probably apple queue line that's normal,,No emotion toward brand or product
8774,ok i'm sxsw i'm garage band ipad notice stunned,,No emotion toward brand or product
8775,heading ballroom mom ipad designing boomer,,No emotion toward brand or product
8776,bounced catch google's marissa mayer speak always admired intelligent classy successful girlcrush,Google,Positive emotion
8777,heading shortly record video popup apple store southby expecting big ipad2 sale,iPad,Positive emotion
8778,network overload google launch major new social network called circle today,,No emotion toward brand or product
8779,totally overshadowing apple win ipad arrives tomorrow,Apple,Positive emotion
8780,funny xd funny xd rebecca black dionne warwick ipad,,No emotion toward brand or product
8781,everyone using keep track plan regular google calendar need guidance,,No emotion toward brand or product
8782,morning everyone ipad giveaway close shortly need sign enter go,,No emotion toward brand or product
8783,porting everything new ipad2 head sunday syncing 3k song take apple,iPad,Positive emotion
8784,apple store downtown austin open til midnight,,No emotion toward brand or product
8785,google denies launching circle hope fare better wave buzz come,,No emotion toward brand or product
8786,here's view inside apple popup store,,No emotion toward brand or product
8787,interview marissa mayer google working larry different working eric,,No emotion toward brand or product
8788,navigate cabbie google map native geek,,No emotion toward brand or product
8789,giving away ipad mapper entry amazingly easy detail,iPad,Positive emotion
8790,giving away ipad kick time visit blog info,,No emotion toward brand or product
8791,giving away ipad kick time visit fb page info,iPad,Positive emotion
8792,really loving marissa mayer's presentation mobile google,,No emotion toward brand or product
